Titre,Lien,Image,Description
Ron DeSantis abandonne la course à la Maison Blanche et soutiendra Trump,https://lenouvelliste.com/article/246449/ron-desantis-abandonne-la-course-a-la-maison-blanche-et-soutiendra-trump,https://media.lenouvelliste.com/articles/2024-01-22/Screenshot20240121192005Gmail_5367.jpg,"Le gouverneur de Floride Ron DeSantis, un temps perçu comme le principal rival de Donald Trump sur sa route vers l'investiture républicaine, a annoncé dimanche jeter l'éponge et se rallier derrière le milliardaire en vue de la présidentielle de novembre."
Le pape demande la libération des six religieuses enlevées à Port-au-Prince,https://lenouvelliste.com/article/246446/le-pape-demande-la-liberation-des-six-religieuses-enlevees-a-port-au-prince,https://media.lenouvelliste.com/articles/2022-08-08/E9E28F00-7966-4BD0-BD89-E51AED627C62_1441.jpeg,"

Le pape François a appelé dimanche à la libération d'un groupe de huit personnes, dont six religieuses, enlevées en Haïti, pays ravagé par la violence des gangs."
Le MENFP s’associe avec des fédérations sportives pour encourager la pratique du sport en milieu scolaire,https://lenouvelliste.com/article/246430/le-menfp-sassocie-avec-des-federations-sportives-pour-encourager-la-pratique-du-sport-en-milieu-scolaire,https://media.lenouvelliste.com/articles/2024-01-19/IMG7920_2955.JPG,"Le ministère de l’Éducation nationale et de la Formation professionnelle (MENFP) a signé trois protocoles d’accord avec les Fédérations haïtiennes de football, de basketball et de volley-ball, le vendredi 19 janvier 2024, au local de l’Inspection générale de l’Éducation nationale, à Musseau. Cette cérémonie, qui s’est déroulée en présence du ministre de l’Éducation nationale, Nesmy Manigat, et de représentants desdites fédérations, rentre dans le cadre des efforts déployés par le MENFP pour valoriser le sport dans les écoles."
C’est parti pour la 17e édition du PaPJazz,https://lenouvelliste.com/article/246433/cest-parti-pour-la-17e-edition-du-papjazz,https://media.lenouvelliste.com/articles/2024-01-19/Lancementdu17eeditionduPapJazzvueduPanel_8733.jpg,"Le festival international de jazz de Port-au-Prince (PaPJazz) a été officiellement lancé le jeudi 18 janvier 2024 par la Fondation Haïti Jazz, son organisateur. Cette grande manifestation culturelle qui se déroulera dans la capitale haïtienne du 25 au 28 janvier sera l’occasion pour des artistes de sept pays différents de faire connaissance avec les amoureux du jazz en Haïti."
Lol Fest Caraïbes 2024 vous attend !,https://lenouvelliste.com/article/246432/lol-fest-caraibes-2024-vous-attend,https://media.lenouvelliste.com/articles/2024-01-19/LolFestCarabes2024_7249.jpg,Le Festival international du rire (LolFestCarïbes) revient en Haïti pour son édition 2024. Il se tiendra à Port-au-Prince du 19 au 21 janvier.
"« Un accord politique n'est pas nécessairement une condition préalable pour le déploiement de la MMAS », selon Maria Isabel Salvador",https://lenouvelliste.com/article/246434/un-accord-politique-nest-pas-necessairement-une-condition-prealable-pour-le-deploiement-de-la-mmas-selon-maria-isabel-salvador,https://media.lenouvelliste.com/articles/2024-01-18/IMG-20240118-WA0043_3221.jpg,"L’accord politique souhaité par la communauté internationale depuis l’assassinat de l’ex-président Jovenel Moïse n’est pas obligatoire en vue du déploiement de la Mission multinationale d’appui à la sécurité (MMAS), c’est ce qu’a soutenu Maria Isabel Salvador, représentante spéciale du secrétaire général des Nations unies en Haïti et cheffe du Bureau intégré des Nations unies en Haïti (BINUH), à la  réunion du Comité ad hoc consultatif restreint sur la situation en Haïti, le 18 janvier 2024. À cette réunion, Mme Salvador a évoqué la situation de la Police nationale d’Haïti (PNH) et les mises en place à faire en prévision de l’arrivée de la MMAS."
Haïti n'a pas besoin de nouvelles promesses,https://lenouvelliste.com/article/246444/haiti-na-pas-besoin-de-nouvelles-promesses,,"

Les troubles des derniers jours confirment combien la situation en Haïti est explosive."
Le pape demande la libération des six religieuses enlevées à Port-au-Prince,https://lenouvelliste.com/article/246446/le-pape-demande-la-liberation-des-six-religieuses-enlevees-a-port-au-prince,https://media.lenouvelliste.com/articles/2022-08-08/E9E28F00-7966-4BD0-BD89-E51AED627C62_1441.jpeg,"

Le pape François a appelé dimanche à la libération d'un groupe de huit personnes, dont six religieuses, enlevées en Haïti, pays ravagé par la violence des gangs."
Ron DeSantis abandonne la course à la Maison Blanche et soutiendra Trump,https://lenouvelliste.com/article/246449/ron-desantis-abandonne-la-course-a-la-maison-blanche-et-soutiendra-trump,https://media.lenouvelliste.com/articles/2024-01-22/Screenshot20240121192005Gmail_5367.jpg,"Le gouverneur de Floride Ron DeSantis, un temps perçu comme le principal rival de Donald Trump sur sa route vers l'investiture républicaine, a annoncé dimanche jeter l'éponge et se rallier derrière le milliardaire en vue de la présidentielle de novembre."
"« Un accord politique n'est pas nécessairement une condition préalable pour le déploiement de la MMAS », selon Maria Isabel Salvador",https://lenouvelliste.com/article/246434/un-accord-politique-nest-pas-necessairement-une-condition-prealable-pour-le-deploiement-de-la-mmas-selon-maria-isabel-salvador,https://media.lenouvelliste.com/articles/2024-01-18/IMG-20240118-WA0043_3221.jpg,"L’accord politique souhaité par la communauté internationale depuis l’assassinat de l’ex-président Jovenel Moïse n’est pas obligatoire en vue du déploiement de la Mission multinationale d’appui à la sécurité (MMAS), c’est ce qu’a soutenu Maria Isabel Salvador, représentante spéciale du secrétaire général des Nations unies en Haïti et cheffe du Bureau intégré des Nations unies en Haïti (BINUH), à la  réunion du Comité ad hoc consultatif restreint sur la situation en Haïti, le 18 janvier 2024. À cette réunion, Mme Salvador a évoqué la situation de la Police nationale d’Haïti (PNH) et les mises en place à faire en prévision de l’arrivée de la MMAS."
